,Website,Type,Parent,Founded,Ticker,is_defunct,HQ,HQ State,HQ City,Net Worth,Industry,Products_and_Services,Subsidiaries,Aliases,People,Number of employees
D. E. Shaw %26 Co.,deshaw.com,Limited partnership,,1988,,,"Avenue of the Americas, New York City, New York, US",New York,Avenue,,['Hedge fund'],"['Hedge fund', 'Private equity']",,,"['David E. Shaw', 'Julius Gaudio', 'Max Stone', 'Eric Wepsic', 'Anne Dinning', 'Alexis Halaby', 'Eddie Fishman']","Large (1,000-4,999 Employees)"
Avalanche Software,avalanchesoftware.com,Subsidiary,"['Disney Interactive Studios', 'Warner Bros. Games']",1995,,,"Salt Lake City, Utah, US",Utah,Salt Lake City,,['Video games'],,,,"['John Blackburn', 'John Blackburn']",
Farmer Jack,,Subsidiary,['The Great Atlantic & Pacific Tea Company'],1924,,True,"Detroit, Michigan, US",Michigan,Detroit,Medium-Large ($50MM-$100MM),['Retail (Grocery)'],"['produce', 'liquor', 'deli', 'seafood', 'snacks', 'Various', 'dairy', 'frozen foods', 'Bakery', 'meat', 'general grocery']",,"[""Borman's Inc."", 'Food Fair', 'Borman Food Stores Inc.', 'Traded as Food Fair', 'Lucky Stores', ""Tom's Quality Meats""]",['Tom Borman and Sam Burlak'],"XLarge (5000-10,000 Employees)"
MOS Technology,,,,1969,,True,"Audubon, Pennsylvania, United States",Pennsylvania,Audubon,,['Semiconductor design and manufacturing'],,,"['Allen-Bradley', 'Western Design Center', 'Commodore Semiconductor Group']",,
Kimberly-Clark,kimberly-clark.com,Public,,1872,KMB,,"Irving, Texas, US since",Texas,Irving,XXLarge ($1B+),['Personal care'],"['Kotex', 'Little Swimmers', 'Scott', 'Poise', 'Neat Sheet', 'Pull-Ups', 'Viva', 'Kimberly-Clark', 'Kleenex', 'Depend', 'GoodNites', 'Andrex', 'Huggies', 'Cottonelle']",,,"['John A. Kimberly', 'Michael D. Hsu', 'Havilah Babcock', 'Franklyn C. Shattuck', 'Charles B. Clark']","XXLarge (10,000+ Employees)"
ONE Gas,onegas.com,Public,,2014,OGS,,"Tulsa, Oklahoma, US",Oklahoma,Tulsa,,['Natural gas utility'],['Natural Gas'],"['Kansas Gas Service', 'Oklahoma Natural Gas', 'Texas Gas Service']",,"['(  and', 'Robert S. McAnnally']",
Grand Canyon University,gcu.edu,Private for-profit university,,,,,,,,,,,,,,
Beasley Broadcast Group,,Public,,,BBGI,,"Naples, Florida, US",Florida,Naples,XLarge ($200MM-$1B),"['Advertising', ';', 'Radio broadcasting']",['Radio Stations'],"['Beasley Media Group, Inc.']",,"['Mark S. Fowler', 'Caroline Beasley', '( , , Director)', '(Director)', 'Bruce G. Beasley']",Medium-Large (500-999 Employees)
Roady%27s Truck Stops,roadys.com,Private,,2007,,,"Meridian, Idaho, United States",Idaho,Meridian,,"['Truck Stop', 'Petroleum', 'Convenience Store', 'Restaurant']",,,,,
Portillo%27s Restaurants,portillos.com,Public company,,1963,PTLO,,"Oak Brook, Illinois, United States",Illinois,Oak Brook,XLarge ($200MM-$1B),"['Restaurants', 'Fast casual']","['salads', 'Maxwell Street Polish', 'chicken sandwiches', 'soft drinks', 'soft serves', 'milkshakes', 'hamburgers', 'Hot dogs', 'ribs', 'French fries', 'Italian beef', 'onion rings']",,"[""Portillo's""]","['Berkshire Partners', 'Michael Osanloo', 'Dick Portillo']","XLarge (5000-10,000 Employees)"
Masco,masco.com,Public,,1929,MAS,,"Livonia, Michigan, US",Michigan,Livonia,,,,,,"['president', 'Richard Manoogian', 'emeritus', 'Keith J. Allman', 'chairman', 'chief executive officer', 'Alex Manoogian']","XXLarge (10,000+ Employees)"
Skaggs Companies,,,,1915,,True,,,,,['Retail'],"['Food, Prescriptions, Liquor']","['Payless Drugs', 'Skaggs Drug Centers', 'Osco Drug']",['American Stores'],,
Ferrellgas,bluerhino.com,Master Limited Partnership,,1939,FGPR,,"Liberty, Missouri, US",Missouri,Liberty,XXLarge ($1B+),"['Propane', 'Retail', 'Distribution']",,,,"['Michael E. Cole', 'Tamria A. Zertuche', 'A.C. Ferrell', 'president)', 'James E. Ferrell']","Large (1,000-4,999 Employees)"
Webroot,webroot.com,Subsidiary,"['Carbonite', 'OpenText']",1997,,,"Broomfield, Colorado, United States",Colorado,Broomfield,,['Computer software'],"['Cybersecurity software', 'Computer security']",,,,
ShopRite (United States),shoprite.com,Retailers' cooperative Subsidiary,['Wakefern Food Corporation'],1946,,,"Keasbey, New Jersey, US, US",New Jersey,Keasbey,,['Retail (Supermarket)'],"['Grocery', 'Online shopping and home delivery', 'Bakery, grocery, delicatessen, health and beauty, frozen foods, produce, seafood, meats, dairy, general merchandise, floral, alcoholic beverages, snacks, pet supplies, salad bar (some locations)', 'Pharmacy']",,,,
Captain D%27s,captainds.com,Private,,1969,,,"Nashville, Tennessee, US",Tennessee,Nashville,XLarge ($200MM-$1B),"['Restaurants', 'Fast casual']",,,"[""Mr. D's Seafood and Hamburgers"", ""Captain D's""]","['Tim Ward', 'Raymond L. Danner, Sr.', 'Chris Kuehn', 'Centre Partners', 'Keith Davis', 'Phil Greifeld', 'CBDO', 'Brad Reed']","XLarge (5000-10,000 Employees)"
Cousins Subs,cousinssubs.com,Private,,1972,,,"Menomonee Falls, Wisconsin",Wisconsin,Menomonee Falls,,"['Sandwich shop', 'Fast casual']","['Salads', 'Sandwiches', 'Other food products']",,['Cousins Subs'],"['Christine Specht-Palmert', 'James Sheppard', 'Bill Specht', 'Jason Westhoff']",
Blue Origin,blueorigin.com,Limited liability company,,2000,,,"Kent, Washington, United States",Washington,Kent,,"['space exploration', 'launch service provider', 'Aerospace']","['Space components, rockets & heavy-lift launch vehicles']",['Honeybee Robotics'],,"['Jeff Bezos', 'Bob Smith']","XLarge (5000-10,000 Employees)"
Rubio%27s Coastal Grill,rubios.com,Private,,1983,,,"Carlsbad, CA",California,Carlsbad,Large ($100MM-$200MM),['Restaurants'],"['Tacos, burritos, quesadillas, salads']",,,"['Ralph Rubio, founder', 'Mill Road Capital']","Large (1,000-4,999 Employees)"
Prudential plc,prudentialplc.com,Public limited company,,1848,PRU,,"London, England, UK",,London,XXLarge ($1B+),['Insurance'],"['Life insurance', 'Investment management', 'Consumer finance']","['Eastspring Investments', 'ICICI Prudential Life Insurance']",,"['Chair', '(Chief   Officer)', 'Anil Wadhwani', 'Shriti Vadera']","XXLarge (10,000+ Employees)"
NuScale Power,nuscalepower.com,Public,,2007,SMR,,"Portland, Oregon, US",Oregon,Portland,Medium-Small ($10MM- $50MM),['Nuclear power'],['Small modular reactors'],,,"['(  &', 'Paul G. Lorenzini', 'John Hopkins', 'José Reyes']",Medium-Large (500-999 Employees)
DataTreasury,datatreasury.com,Private,,1998,,,"Plano, Texas, United States",Texas,Plano,,,,,,['Claudio Ballard'],Micro (1-9 Employees)
Paxton Media Group,,Family-owned,,1896,,,"South th Street, Paducah, Kentucky, United States",Kentucky,Street,,['Publishing'],"['Newspapers, Media']",,,"['   &', 'David M. Paxton']",
Sports Management Worldwide,smww.com,Sports Management Training Institution,,2002,,,"Portland, OR, US",Oregon,Portland,,,,,,['Lynn Lashbrook'],
Colt%27s Manufacturing Company,colt.com,Private,,1855,,,"Hartford, Connecticut, US",Connecticut,Hartford,,['Arms industry'],"['Firearms', ' weapons']",,,"['Samuel Colt', 'Colt CZ Group', 'Dennis Veilleux']",
Eat%27n Park,enphospitality.com,Private,"[""Eat'n Park Hospitality Group""]",2010,,,"Homestead, Pennsylvania, US",Pennsylvania,Homestead,XLarge ($200MM-$1B),['Restaurants'],"['Breakfast foods', "" burgers, sandwiches, chicken, seafood, salads, appetizers, combos, kids' meals and desserts""]","[""Eat'n Park"", 'Parkhurst Dining', 'Hello Bistro']",,"['Larry Hatch', 'William D. Peters', 'Richard Liebscher ( )', 'Mercy Senchur, ()', 'Jeff Broadhurst, (']","XXLarge (10,000+ Employees)"
ServInt,servint.net,,,1995,,,"Sunrise Valley Drive, Suite, Reston, VA",Virginia,Valley,,['Web Hosting'],,,,"['Reed Caldwell, Founder', 'Matthew Loschert']",
Crozer-Keystone Health System,crozerkeystone.org,,['Prospect Medical Holdings'],,,,"Springfield Township, Pennsylvania, US",Pennsylvania,Springfield,,['Health care'],,,,"['Peter Adamo, Chief   Officer']",
Digi-Key,digikey.com,Private,,1972,,,"Thief River Falls, Minnesota, United States",Minnesota,Thief River Falls,XXLarge ($1B+),['Electronics distribution'],,,['Digi-Key Electronics'],"[' 1976-1985)', 'General Manager', 'Mark Larson (  & , 1985–2015;', 'Ronald Stordahl', 'Dave Doherty']","Large (1,000-4,999 Employees)"
Ocean Spray (cooperative),oceanspray.com,Agricultural cooperative,,1930,,,"Lakeville, Middleborough, Massachusetts, United States",Massachusetts,Lakeville,XXLarge ($1B+),,"['grapefruit', 'Cranberries']",,,"['Elizabeth Lee,  John Makepeace, and Marcus Urann', 'Tom Hayes']","Large (1,000-4,999 Employees)"
Sanmina Corporation,sanmina.com,Public,,1980,SANM,,"San Jose, California, US",California,San Jose,XXLarge ($1B+),['Electronics Manufacturing Services'],,"['Viking Technology, SCI, Viking Enterprise Solutions, 42Q MES']",,"['Milan Mandarić', 'Jure Sola (  and']","XXLarge (10,000+ Employees)"
Qdoba Mexican Grill,qdoba.com,Private,,1995,,,"Camino De La Reina, San Diego, California, United States",California,Camino,XLarge ($200MM-$1B),"['Restaurants', 'Fast Casual']","['quesadillas', 'taco salads', 'nachos', 'Burritos', 'tacos']",,"['Qdoba Mexican Grill', 'Zuma Fresh Mexican Grill', 'Z-Teca Mexican Grill', 'Qdoba Mexican Eats']","['Robert Hauser', 'Butterfly Equity', 'Anthony Miller', 'Keith Guilbault (']","XXLarge (10,000+ Employees)"
Donatos Pizza,donatos.com,Private Family-owned,,1963,,,"Gahanna, Ohio, US",Ohio,Ohio,,['Restaurant'],"['subs', 'salads', 'Pizza']",,['Donatos Pizza'],"['Jim Grote', 'Tom Krouse (', 'Jane Grote Abell (Chairwoman)']",
Johnsonville Foods,johnsonville.com,Private,,1945,,,"Sheboygan Falls, Wisconsin, US",Wisconsin,Sheboygan Falls,,['Food processing'],['Sausage'],,,"['Alice Stayer', 'Ralph F. Stayer']","Large (1,000-4,999 Employees)"
1-800-Flowers,1800flowersinc.com,Public,,1976,FLWS,,"Jericho, New York, United States",New York,Jericho,,['Retail'],"[' gift baskets, plants, food, collectibles', 'Flowers']",['Harry & David'],,"['James McCann', 'James McCann ( )', 'Chris McCann (']",
38 Studios,,Private,,2006,,True,"Providence, Rhode Island, United States",Rhode Island,Providence,,['Video games'],['Kingdoms of Amalur: Reckoning'],"['Big Huge Games', 'Precision Jobs', 'Mercury Project']",,"['Todd McFarlane', '(  Art Director)', 'Jennifer MacLean', 'Bill Thomas ()', '(Founder and  )', 'Curt Schilling', '(Director of Creative Content)', 'R. A. Salvatore']",
Scientific Games Corporation,lnw.com,Public,,1973,LNW,,"Las Vegas, Nevada",Nevada,Las Vegas,XXLarge ($1B+),['Gambling'],"['Shuffle Master', 'Bally', 'WMS']",,"['Scientific Games Corporation', 'Autotote Corporation']","['Jamie Odell', 'Matt Wilson', '(,  )']","XLarge (5000-10,000 Employees)"
NW Natural,nwnatural.com,Public,,1859,NWN,,"Portland, Oregon, United States",Oregon,Portland,XXLarge ($1B+),['utility'],['natural gas'],"['NNG Financial Corporation', 'NW Natural Gas Storage LLC', 'NW Natural Water']",['Portland Gas Light Co.'],"['Tod R. Hamachek', 'David H. Anderson,   &']","Large (1,000-4,999 Employees)"
PoliticIt,politicit.com,Privately held company,,2011,,,"Logan, Utah, USA",Utah,Logan,,['Online services'],,,,"['John D. Johnson:   of the Board', 'Co-founder, Technical Scholar, PoliticIt angel', 'Britney Johnson: Chief Technology Officer, Co-founder', 'Shai McDonald: Creative Director, Co-founder', 'Sterling Morris: Chief Marketing Officer, Co-founder', 'Joshua J. Light: Chief   Officer, Co-founder', 'FNC Inc.', 'Lauren Johnson: Chief Creative Officer, Co-founder']",Medium-Small (50-199 Employees)
Black Angus Steakhouse,blackangus.com,Private,,1964,,,"Burbank, California, United States",California,Burbank,Large ($100MM-$200MM),"['Restaurants', 'Casual dining']",,,,"['Private', 'Stuart Anderson (founder)', 'Stuart Anderson']",
Rural King,ruralking.com,Private,,1960,,,"Mattoon, Illinois, US",Illinois,Mattoon,XXLarge ($1B+),['Retail'],"['Clothing and accessories, equine and pet supplies, live chicks and rabbits, hunting equipment and supplies, firearms and ammunition, tractor/trailer parts and accessories, lawn and garden supplies, sprinkler/irrigation parts, power tools, fencing, welding and pump supplies, riding mowers']",,['Rural King'],"['Keith Beaird', 'Steve Barbarick   and', 'Kermit Speer']","XLarge (5000-10,000 Employees)"
Pioneer Hi-Bred,pioneer.com,Agriculture subsidiary,['Corteva'],,,,"Johnston, Iowa, United States",Iowa,Johnston,XXLarge ($1B+),['Agriculture'],"['Granular Inc.', 'Hybrid and varietal seeds']",,,"['( of Corteva Agriscience)', 'Jim Collins']","XXLarge (10,000+ Employees)"
Chuck-A-Rama,,,,1966,,,"Salt Lake City, Utah, US",Utah,Salt Lake City,,['Restaurants'],,,,['Don Moss'],
E. W. Scripps Company,scripps.com,Public,,1878,SSP,,"Scripps Center, Cincinnati, Ohio, US",Ohio,Center,XXLarge ($1B+),['Broadcast television'],,['Scripps Networks'],,"['(  &', 'Rich Boehne', 'Edward W. Scripps', 'Adam P. Symson']","XLarge (5000-10,000 Employees)"
Duane Reade,duanereade.com,Subsidiary,['Walgreens Boots Alliance'],1960,,,"Wall Street, New York City, New York, US",New York,Wall,XXLarge ($1B+),['Retail'],['Pharmacy'],,,"['Jack Cohen', 'Eli Cohen', '(former', 'Gregory Wasson', 'Abraham Cohen']",
United Natural Foods,unfi.com,Public,,1976,UNFI,,"Providence, RI, United States",Rhode Island,Providence,XXLarge ($1B+),['Food Wholesale/Distribution'],"['wholesale natural, organic, ethnic and gourmet, grocery, produce, perishables, personal care, and supplements.']","['Alberts Fresh Produce', 'Nor-Cal Produce', 'UNFI Canada', 'UNFI Brands+', 'UNFI Wellness', 'Woodstock Farms', 'Tony’s Fine Foods', 'UNFI Easy Options', 'Honest Green eSolutions']",,"['J. Alexander (Sandy) Miller Douglas', 'Eric Dorne']","XXLarge (10,000+ Employees)"
Stumptown Coffee Roasters,stumptowncoffee.com,Subsidiary,"[""Peet's Coffee & Tea""]",1999,,,"Portland, Oregon",Oregon,Portland,,['Coffee'],['Coffee'],,,"['Duane Sorenson', 'JAB Holding Company']",
Crowder Construction Company,crowderusa.com,Private,,1947,,,"Charlotte, North Carolina, US",North Carolina,Charlotte,,"['General Contractor', '(construction)']","['Design-Build', 'General Construction']",,,['O. P. and W.T. Crowder'],Medium-Large (500-999 Employees)
My Pillow,mypillow.com,Private,,2009,,,"Chaska, Minnesota, US",Minnesota,Chaska,,['Pillows'],,,,['Mike Lindell'],"Large (1,000-4,999 Employees)"
Merrill Lynch,merrill.com,Division,['Bank of America'],1914,,,"Vesey Street, New York City, New York, US",New York,Street,XXLarge ($1B+),['Financial services'],['Investment management'],"['Merrill Edge', 'Merrill Guided Investing', 'Merrill Private Wealth Management', 'Merrill Lynch Wealth Management']",['Merrill'],"['Edmund C. Lynch', 'Charles E. Merrill']","XXLarge (10,000+ Employees)"
Louis Berger Group,,Private,,1953,,,"Morristown, NJ",New Jersey,Morristown,,"['wastewater treatment', 'engineering', 'international development', 'economic development', 'environmental science', 'water supply', 'transportation', 'architecture', 'program management']","['architecture', 'civil engineering', 'structural engineering', 'public administration', 'cultural resources management', 'construction management', 'program management']",,,"['Dr. Louis Berger', 'Jim Stamatis', '(  and']","XLarge (5000-10,000 Employees)"
Mentor Graphics,,Private,,1981,,True,"Wilsonville, Oregon, United States, N, W, N W",Oregon,Wilsonville,XXLarge ($1B+),"['Embedded Software', 'EDA']","['Nucleus OS', ' Sourcery CodeBench, ModelSim/QuestaSim, Calibre, Veloce']",,,['Tom Bruggere'],"XLarge (5000-10,000 Employees)"
Kikkoman,kikkoman.com,Public K.K,,1603,,,"Noda, Japan",,,XXLarge ($1B+),['Food'],"['Food products, beverages, biochemical products, management services']",,,"['The Master Trust Bank of Japan', 'Oriental Land Company', '(  and', 'Yuzaburo Mogi', 'Japan Trustee Services Bank', 'Noriaki Horikiri']","XLarge (5000-10,000 Employees)"
Miro Technologies,mirotechnologies.com,Privately Held,,1981,,,"La Jolla, CA, Yeovil, Somerset, United States UK",California,La Jolla,,"['/', 'Aerospace', 'Commercial', 'software', 'Defense', 'MRO']","['esp', '(Enterprise Service Platform), AuRA, WRAM Online (Work Recording & Asset Management)', 'GOLD']",,,,
Drinker Biddle %26 Reath,faegredrinker.com,,,,,,,,,,,,,,"['Gina Kastel, Chair']",
Xavier University,xavier.edu,Private university,,,,,,,,,,,,,,
Tori Richard,toririchard.com,Family Business,,1956,,,"Honolulu, Hawaii",Hawaii,Honolulu,,"['Leisure', 'Fashion']","['Aloha shirts', 'accessories for women and men', 'resort wear']",,,"['Joshua Feldman', 'Mortimer Feldman, Janice Moody and Mitsue Aka.']",Medium-Small (50-199 Employees)
Kirkland%27s,kirklands.com,Public,,1966,KIRK,,"Brentwood, Tennessee, US",Tennessee,Brentwood,XLarge ($200MM-$1B),['Retail'],,,,['Steven C. Woodward'],"XLarge (5000-10,000 Employees)"
Pioneer Natural Resources,pxd.com,Public company,,1997,PXD,,"Irving, Texas",Texas,Irving,XXLarge ($1B+),['Petroleum industry'],"['Natural gas', 'Petroleum', 'Natural-gas condensate']",,,"['Richard P. Dealy', 'Scott D. Sheffield']","Large (1,000-4,999 Employees)"
Towers Perrin,,Consultancy,,1934,,True,"Stamford, Connecticut, USA",Connecticut,Stamford,,"['Insurance', 'Human Resources', 'Actuarial', 'Management consulting', 'Professional Services']","['Reinsurance', 'Professional Services']",,['Towers Watson'],['Mark Mactas'],"XLarge (5000-10,000 Employees)"
BenchPrep,benchprep.com,,,2009,,,"Chicago, Illinois",Illinois,Chicago,,['Education'],,,['Watermelon Express'],"['Ashish Rangnekar', 'Ujjwal Gupta']",
Dynamotive Energy Systems,dynamotive.com,Public Pink DYMTF,,1991,,,"Richmond, British Columbia, Canada",,Richmond,,"['Energy', 'Technology']","['CQuest', 'BioOil Plus', 'BioOil']","['Dynamotive Latinoamericana', 'First Resources Corporation', 'Dynamotive USA']",,,
